-536,-418,-385,-499,-424,-609,-283,-324,-166,-648,-674,-682,-959,-575,-1082,-1188,-1069,-969,-672,-320,-378,666,557,1185
-418,-385,-499,-424,-609,-283,-324,-166,-648,-674,-682,-959,-575,-1082,-1188,-1069,-969,-672,-320,-378,666,557,1185,575
-385,-499,-424,-609,-283,-324,-166,-648,-674,-682,-959,-575,-1082,-1188,-1069,-969,-672,-320,-378,666,557,1185,575,715
-499,-424,-609,-283,-324,-166,-648,-674,-682,-959,-575,-1082,-1188,-1069,-969,-672,-320,-378,666,557,1185,575,715,552
-424,-609,-283,-324,-166,-648,-674,-682,-959,-575,-1082,-1188,-1069,-969,-672,-320,-378,666,557,1185,575,715,552,786
-609,-283,-324,-166,-648,-674,-682,-959,-575,-1082,-1188,-1069,-969,-672,-320,-378,666,557,1185,575,715,552,786,926
-283,-324,-166,-648,-674,-682,-959,-575,-1082,-1188,-1069,-969,-672,-320,-378,666,557,1185,575,715,552,786,926,1234
-324,-166,-648,-674,-682,-959,-575,-1082,-1188,-1069,-969,-672,-320,-378,666,557,1185,575,715,552,786,926,1234,1708
-166,-648,-674,-682,-959,-575,-1082,-1188,-1069,-969,-672,-320,-378,666,557,1185,575,715,552,786,926,1234,1708,1888
-648,-674,-682,-959,-575,-1082,-1188,-1069,-969,-672,-320,-378,666,557,1185,575,715,552,786,926,1234,1708,1888,1618
-674,-682,-959,-575,-1082,-1188,-1069,-969,-672,-320,-378,666,557,1185,575,715,552,786,926,1234,1708,1888,1618,1818
-682,-959,-575,-1082,-1188,-1069,-969,-672,-320,-378,666,557,1185,575,715,552,786,926,1234,1708,1888,1618,1818,1598
-959,-575,-1082,-1188,-1069,-969,-672,-320,-378,666,557,1185,575,715,552,786,926,1234,1708,1888,1618,1818,1598,1460
-575,-1082,-1188,-1069,-969,-672,-320,-378,666,557,1185,575,715,552,786,926,1234,1708,1888,1618,1818,1598,1460,1381
-1082,-1188,-1069,-969,-672,-320,-378,666,557,1185,575,715,552,786,926,1234,1708,1888,1618,1818,1598,1460,1381,1414
