-1109,-926,-1075,-157.3379742,75.36223951,-791.7275394,400.1518782,60.69928701
-926,-1075,-536,75.36223951,-791.7275394,400.1518782,60.69928701,478.0908833
-1075,-536,-418,-791.7275394,400.1518782,60.69928701,478.0908833,-12.76064729
-536,-418,-385,400.1518782,60.69928701,478.0908833,-12.76064729,-165.944659
-418,-385,-499,60.69928701,478.0908833,-12.76064729,-165.944659,-195.4967898
-385,-499,-424,478.0908833,-12.76064729,-165.944659,-195.4967898,58.25520843
-499,-424,-609,-12.76064729,-165.944659,-195.4967898,58.25520843,-279.3572714
-424,-609,-283,-165.944659,-195.4967898,58.25520843,-279.3572714,314.1655924
-609,-283,-324,-195.4967898,58.25520843,-279.3572714,314.1655924,-180.4725585
-283,-324,-166,58.25520843,-279.3572714,314.1655924,-180.4725585,133.0043723
-324,-166,-648,-279.3572714,314.1655924,-180.4725585,133.0043723,-602.4691638
-166,-648,-674,314.1655924,-180.4725585,133.0043723,-602.4691638,51.17539022
-648,-674,-682,-180.4725585,133.0043723,-602.4691638,51.17539022,167.0946162
-674,-682,-959,133.0043723,-602.4691638,51.17539022,167.0946162,-356.4835505
-682,-959,-575,-602.4691638,51.17539022,167.0946162,-356.4835505,418.9618482
-959,-575,-1082,51.17539022,167.0946162,-356.4835505,418.9618482,-570.1519463
-575,-1082,-1188,167.0946162,-356.4835505,418.9618482,-570.1519463,-110.7884736
-1082,-1188,-1069,-356.4835505,418.9618482,-570.1519463,-110.7884736,255.2129957
-1188,-1069,-969,418.9618482,-570.1519463,-110.7884736,255.2129957,-47.45994582
-1069,-969,-672,-570.1519463,-110.7884736,255.2129957,-47.45994582,139.6803486
-969,-672,-320,-110.7884736,255.2129957,-47.45994582,139.6803486,71.85468456
-672,-320,-378,255.2129957,-47.45994582,139.6803486,71.85468456,-223.1183866
-320,-378,666,-47.45994582,139.6803486,71.85468456,-223.1183866,940.5773129
-378,666,557,139.6803486,71.85468456,-223.1183866,940.5773129,-341.0120078
666,557,1185,71.85468456,-223.1183866,940.5773129,-341.0120078,364.2485754
557,1185,575,-223.1183866,940.5773129,-341.0120078,364.2485754,-661.2383394
1185,575,715,940.5773129,-341.0120078,364.2485754,-661.2383394,151.0041809
575,715,552,-341.0120078,364.2485754,-661.2383394,151.0041809,41.89180205
715,552,786,364.2485754,-661.2383394,151.0041809,41.89180205,173.5517757
552,786,926,-661.2383394,151.0041809,41.89180205,173.5517757,115.5971696
786,926,1234,151.0041809,41.89180205,173.5517757,115.5971696,241.0489356
926,1234,1708,41.89180205,173.5517757,115.5971696,241.0489356,391.1303015
1234,1708,1888,173.5517757,115.5971696,241.0489356,391.1303015,13.65534256
1708,1888,1618,115.5971696,241.0489356,391.1303015,13.65534256,-396.1740908
1888,1618,1818,241.0489356,391.1303015,13.65534256,-396.1740908,279.3441959
